,Date,BTC High,BTC Low,BTC Close,BTC Volume,Gold Close,Gold High,Gold Low,Gold Volume,Spy Close,Spy High,Spy Low,Spy Volume,R Close,R High,R Low,VIX High,VIX Low,VIX Close
67,2022-03-09,40834.93,38848.48,39238.9,17288.84532,1991.7,2070.4,1984.6,63780.0,575.5,575.5,572.5,470.0,1.951,1.957,1.837,34.12,31.39,32.45
68,2022-03-10,39348.87,38337.03,39132.09,8188.20221,2004.5,2018.3,1978.8,94690.0,582.61,585.87,582.28,430.0,1.993,2.021,1.911,34.03,30.23,30.23
69,2022-03-11,39261.46,38931.8,39104.99,2950.84658,1989.4,2007.6,1964.8,84980.0,577.11,585.0,577.11,180.0,1.997,2.022,1.96,31.04,28.84,30.75
70,2022-03-12,39310.0,39069.0,39089.77,1960.16548,,,,,,,,,,,,,,
71,2022-03-14,39184.66,38126.29,39078.92,9181.27032,1965.5,1999.0,1956.7,24890.0,582.4,586.0,579.0,420.0,2.142,2.147,2.025,33.18,30.06,31.77
72,2022-03-15,38990.61,38098.33,38439.5,5984.59376,1934.7,1961.1,1913.5,49530.0,582.0,582.6,579.25,320.0,2.149,2.169,2.078,33.83,29.57,29.83
73,2022-03-16,39676.65,38911.0,39581.0,7298.36776,1914.3,1934.8,1900.4,40170.0,590.44,591.85,586.01,270.0,2.192,2.246,2.135,29.8,26.29,26.67
74,2022-03-17,41478.82,40543.52,40726.05,7810.9385,1948.2,1955.6,1929.0,36570.0,595.0,605.5,594.1,960.0,2.167,2.214,2.106,27.47,25.25,25.67
75,2022-03-18,40897.0,40432.35,40570.67,4281.13523,1933.9,1950.9,1922.7,37360.0,592.08,595.0,591.0,1050.0,2.153,2.19,2.133,26.82,23.85,23.87
76,2022-03-19,41944.64,41535.22,41610.0,4235.89955,,,,,,,,,,,,,,
77,2022-03-20,42007.99,41751.99,41863.99,2886.613,,,,,,,,,,,,,,
78,2022-03-21,41136.17,40714.81,41102.01,4864.23713,1934.8,1947.2,1922.2,50540.0,599.0,612.37,594.49,460.0,2.297,2.32,2.148,25.36,22.99,23.53
79,2022-03-22,43361.0,41995.01,42215.94,18144.16022,1926.7,1944.7,1915.5,47980.0,599.3,600.82,599.3,210.0,2.381,2.392,2.293,24.02,22.7,22.94
80,2022-03-23,42259.38,41751.47,42107.74,5390.38343,1942.6,1953.9,1920.7,57220.0,602.86,603.46,600.48,100.0,2.29,2.417,2.286,24.03,22.64,23.57
81,2022-03-24,43478.0,42712.87,43077.74,7224.44292,1967.7,1972.5,1942.9,71410.0,594.19,603.85,592.8,560.0,2.37,2.397,2.304,23.79,21.49,21.67
82,2022-03-25,44200.0,43901.1,43904.97,5719.13599,1959.8,1970.4,1948.2,63340.0,599.26,600.0,597.0,320.0,2.488,2.503,2.339,22.86,20.8,20.81
83,2022-03-26,44548.24,44355.98,44510.07,3247.63658,,,,,,,,,,,,,,
84,2022-03-27,44759.17,44542.01,44734.06,2320.84271,,,,,,,,,,,,,,
85,2022-03-28,47371.99,46716.83,46989.24,12013.47897,1944.7,1965.2,1920.7,109250.0,599.47,604.99,599.47,90.0,2.466,2.557,2.414,23.33,19.54,19.63
86,2022-03-29,47753.75,47320.65,47344.44,4147.90595,1918.0,1934.4,1893.2,214610.0,609.43,612.06,607.58,630.0,2.398,2.535,2.38,19.73,18.67,18.9
87,2022-03-30,47580.0,47140.46,47384.44,4722.32882,1944.1,1948.3,1925.4,3760.0,611.86,614.4,611.86,780.0,2.358,2.435,2.334,20.51,18.72,19.33
